Sale_ID, Date, Total_Price, Quantity_of_Items, Buyer, Seller
2,2/14/2022,27.18,2,Jim,Bob
3,2/14/2022,55.62,5,Joe-Joe,Jen
4,2/14/2022,33.06,2,Dave,David
1,2/15/2022,34.08,2,Joe-Joe,Joe
2,2/15/2022,32.61,4,Jim,Dave-Dog
3,2/15/2022,21.62,2,Joseph,Vinny
1,2/16/2022,44.02,3,Davey,Greg
1,2/17/2022,48.86,5,David,David
2,2/17/2022,22.22,2,Vincent,Vinny
1,2/18/2022,21.8,2,Jim-Plank,Jon-Jon
2,2/18/2022,33.18,2,Vincent,Vinny
1,2/19/2022,49.47,5,Dave,Jon
2,2/19/2022,16.45,2,Joe,Gregg
3,2/19/2022,59.21,4,Jon-Jon,Gregg
4,2/19/2022,16.26,2,Vinny,David
5,2/19/2022,11.04,1,David,Gregg
6,2/19/2022,39.53,3,Jon,Vincent
1,2/20/2022,16.52,2,Vinny,Stephen
1,2/21/2022,50.43,5,Jon-Jon,Dave-Dog
2,2/21/2022,51.05,5,Dave,James
1,2/22/2022,58.9,4,Dave-Dog,David
2,2/22/2022,32.73,2,Davey,Vinny
1,2/23/2022,5.79,1,Jen,Dave-Dog
2,2/23/2022,34.03,3,Alan,Joseph
1,2/24/2022,16.8,1,Vinny,Dave-Dog
2,2/24/2022,43.79,5,Joe-Joe,James
3,2/24/2022,32.67,2,Jim-Plank,Joe
1,2/25/2022,27.06,3,Greg,Jen-Jen
1,2/26/2022,5.41,1,Joseph,Joe-Joe
2,2/26/2022,44.67,3,James,Davey
1,2/27/2022,10.89,2,Jen,Bob
1,2/28/2022,22.02,2,Joe-Joe,Jon-Jon
2,2/28/2022,11.2,1,Noah,Dave-Dog
1,2/29/2022,21.73,2,Stephen,David
1,3/1/2022,10.94,1,Bob,Dave
1,3/2/2022,16.23,1,James,Jen-Jen
2,3/2/2022,65.06,5,Vinny,Gregg
3,3/2/2022,10.72,1,Stephen,Joe-Joe
4,3/2/2022,10.84,1,Davey,Jon
5,3/2/2022,5.41,1,Joe,Davey
6,3/2/2022,11.2,1,David,Jim
7,3/2/2022,38.1,3,Vinny,Davey
8,3/2/2022,22.04,2,Jon-Jon,Davey
1,3/3/2022,16.56,1,Joe,James
2,3/3/2022,16.8,1,Joe,Joe
3,3/3/2022,55.21,5,Jen,Stephen
4,3/3/2022,33.74,3,Vincent,Vinny
5,3/3/2022,27.6,2,Stephen,Jon-Jon
1,3/4/2022,38.68,4,Joe-Joe,Alan
2,3/4/2022,37.89,3,Stephen,Bob
1,3/5/2022,10.95,2,Gregg,Stephen
1,3/6/2022,16.23,1,Gregg,Dave
2,3/6/2022,65.19,5,Jen,Dave
1,3/7/2022,38.68,4,Dave,Alan
2,3/7/2022,21.68,2,Jen-Jen,Vinny
3,3/7/2022,10.84,1,Davey,Jim-Plank
4,3/7/2022,43.48,4,Davey,Noah
5,3/7/2022,55.95,5,Vincent,Greg
1,3/8/2022,38.34,4,Jon,Stephen
2,3/8/2022,38.12,3,Joe-Joe,Jon-Jon
1,3/9/2022,71.46,5,Bob,Dave
1,3/10/2022,5.49,1,Joseph,Vincent
2,3/10/2022,5.5,1,James,Jen
1,3/11/2022,38.32,4,Jen,Jon-Jon
2,3/11/2022,32.92,3,Dave-Dog,Stephen
3,3/11/2022,16.21,3,Alan,James
4,3/11/2022,65.7,5,Greg,Joseph
5,3/11/2022,70.59,5,James,Jon
1,3/12/2022,38.51,5,Noah,Jen-Jen
2,3/12/2022,38.87,4,Bob,Dave
3,3/12/2022,5.34,1,Jim-Plank,Joseph
4,3/12/2022,16.47,2,Alan,Jon
1,3/13/2022,22.02,3,Jen,Jim-Plank
2,3/13/2022,38.03,4,Jon-Jon,Jon
1,3/14/2022,28.8,2,Jon-Jon,Alan
2,3/14/2022,49.2,4,Jen,Stephen
3,3/14/2022,27.48,2,Bob,Greg
1,3/15/2022,32.63,3,David,David
1,3/16/2022,54.9,5,Dave-Dog,Stephen
1,3/17/2022,10.96,1,Joe-Joe,Jim-Plank
2,3/17/2022,16.26,1,Alan,Jon
1,3/18/2022,10.88,1,Bob,Stephen
1,3/19/2022,27.63,4,James,Greg
2,3/19/2022,59.56,5,Vincent,Joseph
1,3/20/2022,5.52,1,Noah,Dave-Dog
1,3/21/2022,5.48,1,Jim,Jen-Jen
1,3/22/2022,60.7,5,James,Stephen
2,3/22/2022,43.89,4,Greg,Gregg
1,3/23/2022,27.32,3,Jim,Jen
1,3/24/2022,59.72,5,Joe-Joe,Bob
2,3/24/2022,16.62,1,David,Jon
3,3/24/2022,59.47,5,Joseph,Jen
4,3/24/2022,27.88,3,Greg,Jim-Plank
1,3/25/2022,33.2,3,Dave-Dog,Jen-Jen
2,3/25/2022,5.29,1,Greg,Gregg
1,3/26/2022,27.78,3,Davey,David
2,3/26/2022,33.6,4,Jen-Jen,Jon
1,3/27/2022,49.17,4,Michael,Joe-Joe
2,3/27/2022,5.39,1,Dave-Dog,Jim
1,3/28/2022,16.56,2,Vinny,Vincent
1,3/29/2022,40.3,4,Gregg,David
1,3/30/2022,16.2,1,Bob,Dave
2,3/30/2022,43.07,3,Jen,Jim-Plank
1,3/31/2022,33.66,3,Joe-Joe,David
1,4/1/2022,16.56,1,Joe-Joe,James
1,4/2/2022,49.53,4,David,Greg
2,4/2/2022,16.19,2,Jim,Alan
1,4/3/2022,60.46,5,Michael,Alan
2,4/3/2022,44.38,3,Stephen,Joseph
1,4/4/2022,21.99,2,David,Vinny
1,4/5/2022,21.95,3,Joseph,Dave-Dog
2,4/5/2022,54.34,4,Vincent,Alan
1,4/6/2022,43.74,4,Michael,Jon-Jon
2,4/6/2022,27.81,2,Alan,James
3,4/6/2022,32.51,5,Vincent,Greg
1,4/7/2022,37.79,3,Jon,Joe
2,4/7/2022,43.31,4,James,Greg
3,4/7/2022,5.41,1,Noah,Alan
4,4/7/2022,16.71,1,Vincent,Joe
1,4/8/2022,38.55,5,Jim,Stephen
2,4/8/2022,32.93,3,Jen,James
1,4/9/2022,11.14,1,Jim-Plank,Stephen
1,4/10/2022,16.02,1,Jim,James
2,4/10/2022,38.56,3,Jim-Plank,Jim-Plank
3,4/10/2022,10.92,2,Jon,Dave
1,4/11/2022,21.75,3,James,Jen-Jen
2,4/11/2022,48.37,4,James,Jen
3,4/11/2022,49.14,3,Davey,David
1,4/12/2022,5.54,1,Jim,Stephen
1,4/13/2022,5.52,1,Jim-Plank,James
1,4/14/2022,27.22,2,Dave,Noah
2,4/14/2022,16.56,1,Vinny,David
1,4/15/2022,32.96,3,Stephen,Vincent
1,4/16/2022,16.08,1,Davey,Jon
1,4/17/2022,38.31,4,Stephen,Noah
2,4/17/2022,38.23,4,Jim-Plank,James
1,4/18/2022,37.92,3,Dave-Dog,Noah
2,4/18/2022,11.44,1,Noah,Vincent
1,4/19/2022,27.56,4,Alan,Bob
1,4/20/2022,5.42,1,Joseph,Greg
1,4/21/2022,54.97,5,David,Bob
2,4/21/2022,43.22,3,Greg,Gregg
3,4/21/2022,27.84,4,Jen,Michael
4,4/21/2022,37.72,3,Davey,Dave-Dog
1,4/22/2022,16.7,3,Jon-Jon,Joe-Joe
2,4/22/2022,10.82,1,Jon,Vincent
1,4/23/2022,32.72,4,Vinny,Vinny
2,4/23/2022,71.44,5,Alan,Jon-Jon
3,4/23/2022,60.6,5,Noah,Jen-Jen
4,4/23/2022,65.87,5,Joseph,Vinny
5,4/23/2022,43.96,5,Joe-Joe,Jon
1,4/24/2022,43.38,4,David,Noah
1,4/25/2022,44.95,5,Noah,Jen
1,4/26/2022,66.6,5,Bob,Michael
1,4/27/2022,16.58,2,James,Jen
1,4/28/2022,16.5,1,Jim,David
1,4/29/2022,21.98,2,Jon-Jon,James
1,4/30/2022,27.2,2,Jen-Jen,Alan
2,4/30/2022,44.08,4,Jon-Jon,Jon-Jon
1,5/1/2022,11.58,1,Jon-Jon,Joseph
1,5/2/2022,48.89,4,Dave,Jim
1,5/3/2022,66.17,5,Joseph,Noah
1,5/4/2022,38.17,4,Vincent,Vincent
1,5/5/2022,43.75,4,Joseph,Vinny
1,5/6/2022,32.95,3,Vinny,Stephen
1,5/7/2022,10.62,1,Davey,Dave-Dog
2,5/7/2022,38.98,4,Alan,Jen
1,5/8/2022,27.5,4,Vinny,Vincent
2,5/8/2022,38.88,3,Jon,Joe-Joe
1,5/9/2022,49.3,5,Joe-Joe,Stephen
2,5/9/2022,5.4,1,James,James
3,5/9/2022,43.92,3,Jim,Jen-Jen
4,5/9/2022,33,3,Davey,Jon
5,5/9/2022,54.29,5,Dave,Noah
1,5/10/2022,43.67,5,David,Jen-Jen
1,5/11/2022,61.45,5,Gregg,Jen-Jen
2,5/11/2022,11.44,1,Gregg,Vinny
1,5/12/2022,37.55,3,Vincent,Jim
1,5/13/2022,38.58,3,Dave,Vinny
2,5/13/2022,10.84,1,Joseph,Jim-Plank
1,5/14/2022,55.04,4,Jim,Jon
1,5/15/2022,22.4,2,Dave-Dog,Greg
2,5/15/2022,43.85,4,Jim-Plank,Joseph
3,5/15/2022,38.34,4,Noah,James
4,5/15/2022,61.07,4,Alan,Joe
5,5/15/2022,29.34,2,Dave-Dog,Jon-Jon
1,5/16/2022,38.2,3,Vinny,Vinny
2,5/16/2022,34.14,4,Joe-Joe,Joe
3,5/16/2022,38.33,5,Vinny,Gregg
1,5/17/2022,38.44,4,Greg,Jon-Jon
2,5/17/2022,22.12,2,Stephen,David
3,5/17/2022,38.47,5,Joe-Joe,Jim
4,5/17/2022,5.49,1,Dave,Jen
5,5/17/2022,64.83,4,Jim-Plank,Joe
6,5/17/2022,38.59,3,Michael,Alan
7,5/17/2022,32.77,3,Dave-Dog,Vincent
1,5/18/2022,48.86,4,Jon-Jon,Vinny
1,5/19/2022,16.64,2,Jon,Michael
1,5/20/2022,5.56,1,James,Gregg
2,5/20/2022,43.4,5,Vincent,Jon
3,5/20/2022,16.5,1,Bob,Joe-Joe
4,5/20/2022,5.69,1,Davey,David
1,5/21/2022,27.17,3,Dave-Dog,Bob
1,5/22/2022,38.44,3,Stephen,Bob
2,5/22/2022,27.3,4,Vinny,Jim
3,5/22/2022,38.13,3,Jon,David
1,5/23/2022,26.85,2,Jen-Jen,Jim
2,5/23/2022,39.4,5,Alan,Joe-Joe
3,5/23/2022,49.03,4,Jim-Plank,Jen-Jen
4,5/23/2022,10.88,1,Joe-Joe,Gregg
1,5/24/2022,44.84,4,Dave,Vinny
2,5/24/2022,59.9,5,Michael,James
1,5/25/2022,49.04,4,Noah,Jen
2,5/25/2022,16.72,2,Dave,Greg
1,5/26/2022,33.47,3,James,Gregg
1,5/27/2022,39.33,4,Vinny,Jim-Plank
1,5/28/2022,77.59,5,Bob,Gregg
1,5/29/2022,50.03,5,Joseph,Gregg
1,5/30/2022,27.7,2,Jim,Bob
2,5/30/2022,5.79,1,Jon-Jon,Vincent
1,5/31/2022,38.79,4,Joe-Joe,Joe
2,5/31/2022,49.3,5,Jon-Jon,Joseph
1,6/1/2022,27.2,2,Joe,Greg
2,6/1/2022,22.08,2,Alan,Joe-Joe
3,6/1/2022,32.54,3,Joe-Joe,Greg
4,6/1/2022,21.9,2,Joseph,James
1,6/2/2022,10.88,2,Joseph,Jim-Plank
1,6/3/2022,11.03,2,Jon,Stephen
1,6/4/2022,22.18,2,Vinny,Jim-Plank
1,6/5/2022,32.46,2,Vincent,Michael
2,6/5/2022,10.58,1,Joe,Bob
3,6/5/2022,11,1,Joe,Jen-Jen
1,6/6/2022,28,2,Vinny,David
2,6/6/2022,33.3,2,Jon,Joe
1,6/7/2022,16.55,3,David,Davey
1,6/8/2022,16.62,1,Davey,Dave
1,6/9/2022,27.1,2,Joe,Alan
1,6/10/2022,22.12,2,Joseph,Jon-Jon
2,6/10/2022,21.86,2,Stephen,Vinny
1,6/11/2022,60.34,5,Jon-Jon,Jim-Plank
1,6/12/2022,55.21,5,Vincent,Davey
2,6/12/2022,5.47,1,Jim-Plank,Dave-Dog
3,6/12/2022,43.98,5,Joseph,Joe
4,6/12/2022,38.51,3,Alan,Bob
1,6/13/2022,10.92,1,Davey,Jim-Plank
1,6/14/2022,32.46,2,Gregg,Dave
1,6/15/2022,10.72,1,David,Joseph
1,6/16/2022,27.06,2,Joe-Joe,Michael
2,6/16/2022,32.94,5,Vincent,Noah
1,6/17/2022,10.9,2,Greg,Alan
2,6/17/2022,21.76,3,Gregg,Jen-Jen
1,6/18/2022,33.34,4,Stephen,Vinny
1,6/19/2022,21.57,2,Jon,Greg
2,6/19/2022,38.3,3,Joe-Joe,Jen
1,6/20/2022,33.46,4,Stephen,Joe-Joe
1,6/21/2022,28.24,3,David,Jim
1,6/22/2022,21.8,2,Bob,Joe
1,6/23/2022,49.24,4,Jim,Stephen
2,6/23/2022,60.55,5,Jim-Plank,Bob
1,6/24/2022,11.16,1,Dave,Joe-Joe
1,6/25/2022,16.26,2,Gregg,Jon-Jon
1,6/26/2022,49.59,3,Joe,Gregg
2,6/26/2022,43.38,5,Stephen,Joe
3,6/26/2022,16.26,1,Jon-Jon,Joe-Joe
1,6/27/2022,39.9,4,Jon-Jon,James
1,6/28/2022,16.26,1,Vincent,Gregg
2,6/28/2022,55.21,4,Jen-Jen,Jon
1,6/29/2022,32.7,4,Gregg,Gregg
2,6/29/2022,49.46,4,Vinny,Vinny
1,6/30/2022,27.71,4,Jim,Jon-Jon
1,7/1/2022,32.31,2,Joe-Joe,James
2,7/1/2022,60.12,5,James,Davey
1,7/2/2022,55.17,5,Davey,Stephen
2,7/2/2022,55.38,4,Jim,Jon-Jon
3,7/2/2022,43.35,5,Jen-Jen,Noah
4,7/2/2022,27.72,3,Davey,David
5,7/2/2022,82.89,5,Jim-Plank,Bob
6,7/2/2022,55.79,5,Stephen,Joseph
1,7/3/2022,43.82,5,Jon-Jon,Alan
2,7/3/2022,60.33,5,Gregg,Michael
1,7/4/2022,11.04,1,Jen,James
1,7/5/2022,10.84,1,Greg,Vinny
2,7/5/2022,43.58,4,Noah,Dave-Dog
1,7/6/2022,32.74,3,Jon,Jim
1,7/7/2022,16.8,1,Noah,Jon
2,7/7/2022,16.78,3,Gregg,Vinny
1,7/8/2022,11.12,1,Joe-Joe,Dave
1,7/9/2022,66.08,5,Davey,Jen-Jen
2,7/9/2022,49.41,5,Noah,Jon-Jon
3,7/9/2022,10.76,1,Jen,Vincent
1,7/10/2022,22.4,2,David,Jen-Jen
1,7/11/2022,55.6,5,Vincent,Alan
1,7/12/2022,33.08,3,Greg,Joe-Joe
1,7/13/2022,22.18,2,Jim,Michael
2,7/13/2022,32.68,5,David,Jen-Jen
1,7/14/2022,5.31,1,Bob,Jen
2,7/14/2022,16.62,1,James,Gregg
3,7/14/2022,43.63,4,Jon,Dave-Dog
1,7/15/2022,44.84,5,Stephen,Joe
2,7/15/2022,59.41,5,Michael,Alan
3,7/15/2022,21.96,3,Michael,Dave-Dog
4,7/15/2022,22.15,3,Noah,Stephen
1,7/16/2022,32.88,3,Jen,Joseph
1,7/17/2022,44.16,4,Alan,Joseph
2,7/17/2022,16.5,1,Jon,Joe-Joe
3,7/17/2022,32.93,4,James,Jen
4,7/17/2022,10.84,1,Dave,David
1,7/18/2022,60.63,5,Vinny,David
1,7/19/2022,21.67,3,Michael,Jon
1,7/20/2022,49.23,5,Noah,James
1,7/21/2022,59.98,5,Gregg,James
1,7/22/2022,49.44,3,Joe-Joe,Greg
2,7/22/2022,15.93,1,Jon,Joe
3,7/22/2022,49.08,5,Vinny,Vincent
1,7/23/2022,32.81,3,James,Bob
2,7/23/2022,21.56,2,Jim,Gregg
3,7/23/2022,38.46,4,Alan,Joe
1,7/24/2022,43.61,5,Greg,Noah
2,7/24/2022,33.36,2,Joe-Joe,Jon-Jon
1,7/25/2022,54.47,5,Joe,Stephen
1,7/26/2022,49.9,5,Jen-Jen,Dave
1,7/27/2022,11,2,Davey,Jim
2,7/27/2022,55.94,4,Joe-Joe,David
1,7/28/2022,55.02,5,Jim-Plank,Gregg
2,7/28/2022,43.43,4,Michael,Jim
3,7/28/2022,43.34,4,Stephen,Davey
1,7/29/2022,49.59,4,Alan,Stephen
2,7/29/2022,50.52,5,Michael,Vincent
3,7/29/2022,33.32,4,David,Noah
1,7/30/2022,60.58,5,Jim-Plank,Jim-Plank
1,7/31/2022,16.74,1,Vinny,Stephen
2,7/31/2022,27.34,3,Jim-Plank,Jon
1,8/1/2022,66.12,5,Bob,Jim-Plank
2,8/1/2022,27.24,3,Jen-Jen,Joe
3,8/1/2022,60.68,5,Gregg,Gregg
1,8/2/2022,16.08,2,David,Stephen
1,8/3/2022,27.11,3,Vincent,Joe
1,8/4/2022,33.01,3,Stephen,Gregg
2,8/4/2022,32.79,2,Joseph,Michael
3,8/4/2022,16.56,1,Jon,Noah
4,8/4/2022,43.67,3,Jon,James
5,8/4/2022,21.8,2,Joe,Stephen
6,8/4/2022,21.8,2,Joe,Jim
1,8/5/2022,71.2,5,Davey,Gregg
1,8/6/2022,39.49,4,Dave,James
2,8/6/2022,22.4,2,Jon,Bob
1,8/7/2022,16.62,1,Joe,Dave-Dog
2,8/7/2022,59.72,4,Jen,Dave
3,8/7/2022,43.28,4,Bob,Jim
4,8/7/2022,38.05,3,Jon-Jon,Dave-Dog
1,8/8/2022,64.98,5,Jim,Davey
1,8/9/2022,5.6,1,Jim-Plank,Davey
1,8/10/2022,5.34,1,Jim-Plank,Dave-Dog
2,8/10/2022,49.23,4,Vincent,Bob
3,8/10/2022,48.82,5,Jen,Jen
1,8/11/2022,65.55,5,David,Davey
1,8/12/2022,43.78,3,Gregg,Joseph
1,8/13/2022,60.12,5,Alan,Vinny
1,8/14/2022,59.67,5,Jon,James
2,8/14/2022,16.17,2,Dave-Dog,Vinny
1,8/15/2022,27.19,3,Greg,Bob
2,8/15/2022,21.56,2,Vincent,Alan
1,8/16/2022,49.42,5,Jim-Plank,Dave-Dog
2,8/16/2022,21.87,2,Jen-Jen,Bob
1,8/17/2022,5.57,1,Vinny,Jim
1,8/18/2022,27.94,2,Joe-Joe,Gregg
2,8/18/2022,21.74,2,Alan,Gregg
3,8/18/2022,16.6,2,Joseph,James
1,8/19/2022,27.37,4,James,Dave
1,8/20/2022,21.63,2,Joe-Joe,David
1,8/21/2022,37.99,3,Bob,Davey
2,8/21/2022,38.48,4,Jon-Jon,Dave-Dog
3,8/21/2022,21.5,2,Alan,Davey
1,8/22/2022,16.14,1,Greg,Joseph
1,8/23/2022,5.5,1,Gregg,Noah
2,8/23/2022,33.39,3,Dave,Joseph
3,8/23/2022,22.14,2,James,Michael
4,8/23/2022,43.96,4,Jen-Jen,Alan
1,8/24/2022,16.02,1,Jen-Jen,Alan
2,8/24/2022,38.04,4,Joseph,Stephen
3,8/24/2022,16.26,2,Vinny,Gregg
1,8/25/2022,22,2,Jon,Joe
1,8/26/2022,17.76,1,Alan,Greg
2,8/26/2022,16.8,1,Dave,Davey
1,8/27/2022,71.35,5,Greg,Joe
2,8/27/2022,44.49,5,Joe-Joe,Jen-Jen
3,8/27/2022,10.84,1,Joseph,Dave
4,8/27/2022,11.12,1,Vinny,Stephen
1,8/28/2022,10.96,1,Jon,Jen
2,8/28/2022,33.63,2,Jim-Plank,Dave
1,8/29/2022,10.86,1,Jon-Jon,Dave-Dog
1,8/30/2022,10.74,1,Stephen,Jim-Plank
1,8/31/2022,27.22,2,Greg,Davey
1,9/1/2022,54.03,4,Greg,Joe-Joe
1,9/2/2022,5.69,1,Vinny,Noah
1,9/3/2022,50.03,5,Gregg,Alan
1,9/4/2022,16.44,1,Jon,Jim-Plank
2,9/4/2022,10.88,1,Greg,Joe
1,9/5/2022,11.12,1,Joe,Jim-Plank
2,9/5/2022,43.97,5,Joe,Davey
3,9/5/2022,55.2,5,Vinny,Greg
4,9/5/2022,38.37,5,Dave,Jen
1,9/6/2022,27.54,4,Dave-Dog,Davey
2,9/6/2022,16.68,1,Noah,Joseph
3,9/6/2022,38,3,Jim,Jim-Plank
1,9/7/2022,26.73,3,Jon-Jon,Greg
2,9/7/2022,33.16,3,Jen,Davey
1,9/8/2022,75.91,5,David,James
2,9/8/2022,55.36,5,Joseph,Jon-Jon
3,9/8/2022,5.52,1,Bob,Vinny
1,9/9/2022,33.13,5,Jen-Jen,Dave
1,9/10/2022,33.6,2,James,Noah
2,9/10/2022,27.39,3,Joseph,Joe
1,9/11/2022,16.21,2,Jim-Plank,Davey
1,9/12/2022,60.41,5,Gregg,Alan
2,9/12/2022,11.12,1,Bob,Stephen
3,9/12/2022,16.32,2,Michael,Noah
1,9/13/2022,21.88,2,Jon-Jon,Dave
2,9/13/2022,10.9,2,Jon-Jon,Dave
1,9/14/2022,54.92,5,Jen,Alan
1,9/15/2022,32.7,2,Joe-Joe,David
1,9/16/2022,33.59,4,Jen,Joseph
2,9/16/2022,49.23,4,Jon,Dave
1,9/17/2022,16.06,2,Jon,Jon-Jon
2,9/17/2022,21.66,2,Jen,Gregg
1,9/18/2022,44.06,3,Bob,Vinny
1,9/19/2022,49.41,5,Davey,Jen
2,9/19/2022,27.84,2,Jim-Plank,Jim-Plank
1,9/20/2022,44.49,4,Joe-Joe,Jen
2,9/20/2022,38.81,4,Jon-Jon,Joe
1,9/21/2022,54.6,5,Michael,Davey
2,9/21/2022,21.18,2,Jon-Jon,Joe
3,9/21/2022,43.46,4,Jen-Jen,Greg
4,9/21/2022,16.26,1,Jim,Gregg
1,9/22/2022,60.6,4,Greg,Vincent
1,9/23/2022,44.22,4,Alan,Dave
2,9/23/2022,11.04,1,Jon,Michael
3,9/23/2022,10.58,1,Joe,Noah
4,9/23/2022,27.54,2,Jon,Jim-Plank
1,9/24/2022,33.14,5,Jen-Jen,Jen-Jen
2,9/24/2022,48.93,3,James,Vincent
1,9/25/2022,16.24,2,Vincent,Greg
2,9/25/2022,43.88,4,Noah,Davey
3,9/25/2022,38.74,3,Gregg,Alan
4,9/25/2022,27.21,3,Jim-Plank,Jon
5,9/25/2022,27.6,2,Alan,Vinny
6,9/25/2022,33.48,2,Dave,Bob
1,9/26/2022,27.72,3,Jim,Greg
1,9/27/2022,33.64,3,Vinny,Jon-Jon
2,9/27/2022,55.42,5,Bob,Davey
3,9/27/2022,27.49,3,Jon-Jon,Dave-Dog
1,9/28/2022,16.29,2,James,Bob
1,9/29/2022,26.91,2,Alan,Vinny
2,9/29/2022,49.92,4,Davey,Vincent
1,9/30/2022,27.02,2,Jim-Plank,James
1,10/1/2022,5.6,1,Jen,Joe-Joe
1,10/2/2022,38.7,4,Jim,Jen-Jen
1,10/3/2022,28.4,2,Jen-Jen,Greg
1,10/4/2022,11.07,2,Joseph,Vincent
2,10/4/2022,48.89,4,James,Jim-Plank
1,10/5/2022,22.49,2,Greg,Davey
1,10/6/2022,16.68,2,Joseph,Michael
2,10/6/2022,38.76,3,Joseph,Joe-Joe
1,10/7/2022,32.52,2,Bob,Bob
2,10/7/2022,27.32,3,Jen,Joe
3,10/7/2022,32.77,3,James,David
1,10/8/2022,27.05,2,Jon-Jon,Gregg
1,10/9/2022,54.46,5,Bob,Greg
1,10/10/2022,66.78,5,Dave-Dog,Gregg
